City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
184,oum hadjer,13.2954,19.6966,28.11,16,0,4.43,TD,1737489379
185,argostolion,38.1811,20.489,12.08,58,100,3.03,GR,1737489380
186,bafoulabe,13.8065,-10.8321,29.08,11,15,1.4,ML,1737489381
187,thunder bay,48.4001,-89.3168,-19.01,38,20,4.12,CA,1737489382
188,hechuan,29.9947,106.2572,11.6,84,100,0.69,CN,1737489383
189,muang khong,14.1167,105.85,15.89,61,55,0.88,LA,1737489385
190,floro,61.5996,5.0328,2.98,93,75,2.57,NO,1737489386
191,noyabrsk,63.1994,75.4507,-25.71,97,100,12.13,RU,1737489387
192,kayyerkan,69.3786,87.7439,-41.11,94,47,2.12,RU,1737489388
193,badr hunayn,23.7829,38.7905,24.56,19,0,5.16,SA,1737489390
194,sofifi,0.7349,127.576,26.34,85,100,2.53,ID,1737489391
195,marsh harbour,26.5412,-77.0636,24.38,79,99,5.55,BS,1737489392
196,las tablas,7.7667,-80.2833,30.14,62,1,2.92,PA,1737489393
197,mitsamiouli,-11.3847,43.2844,27.78,80,67,3.33,KM,1737489394
198,djibo,14.1022,-1.6306,25.27,10,0,3.77,BF,1737489395
199,tuni,17.35,82.55,17.74,83,5,1.7,IN,1737489397
200,yonezawa,37.9167,140.1167,-1.29,97,89,0.64,JP,1737489398
201,namie,37.4833,141.0,2.77,82,24,3.85,JP,1737489206
202,sigli,5.3848,95.9609,25.5,84,100,2.26,ID,1737489400
203,ambatofinandrahana,-20.55,46.8,17.74,90,91,1.86,MG,1737489402
204,coahuayana de hidalgo,18.7,-103.6583,31.95,34,0,3.31,MX,1737489403
205,aigio,38.2486,22.0819,12.34,84,7,3.8,GR,1737489405
206,sur,22.5667,59.5289,20.9,56,0,3.93,OM,1737489406
207,saint-joseph,-21.3667,55.6167,26.21,80,74,3.69,RE,1737489407
208,tazovsky,67.4667,78.7,-38.63,96,55,4.56,RU,1737489408
209,ploudalmezeau,48.5333,-4.65,4.21,93,100,1.03,FR,1737489409
210,kiunga,-6.1219,141.2906,22.21,99,86,0.89,PG,1737489411
211,znamenskoye,57.1281,73.8282,-2.69,97,100,3.66,RU,1737489412
212,makubetsu,45.3714,141.8211,-8.3,88,83,2.19,JP,1737489413
213,idrinskoye,54.3708,92.1358,-6.72,94,100,1.85,RU,1737489414
214,goure,13.9835,10.2704,23.64,19,0,4.74,NE,1737489415
215,khash,28.2211,61.2158,6.61,63,1,2.46,IR,1737489417
216,woolgoolga,-30.1106,153.2007,19.93,89,12,4.39,AU,1737489418
217,yuzhno-kurilsk,44.0306,145.8556,-5.03,77,76,0.38,RU,1737489419
218,jayrud,33.8074,36.7404,7.65,56,1,0.97,SY,1737489420
219,avarua,-21.2078,-159.775,29.03,84,20,1.54,CK,1737489421
220,kill devil hills,36.0307,-75.676,-0.57,68,100,6.69,US,1737488974
221,hauterive,46.0901,3.4459,7.43,76,100,3.66,FR,1737489424
222,hamina,60.5697,27.1979,-5.38,93,100,10.79,FI,1737489425
223,noshiro,40.2039,140.0242,0.72,96,69,2.55,JP,1737489426
224,hola,51.5377,23.1902,2.24,77,100,1.18,PL,1737489430
225,new norfolk,-42.7826,147.0587,13.17,79,100,0.87,AU,1737488906
226,coquimbo,-29.9533,-71.3436,21.85,63,0,6.69,CL,1737489433
227,bhimunipatnam,17.8833,83.4333,16.73,71,5,2.09,IN,1737489434
228,isafjordur,66.0755,-23.124,-5.2,83,22,3.66,IS,1737489435
229,shakawe,-18.3667,21.85,20.39,95,100,1.68,BW,1737489436
230,namanga,-2.5433,36.7905,20.49,65,96,2.97,KE,1737489437
231,sarangani,5.4033,125.4636,28.28,75,100,9.75,PH,1737489438
232,xichang,27.8964,102.2634,7.61,77,0,0.81,CN,1737489440
233,sydney,-33.8679,151.2073,20.4,84,43,2.23,AU,1737488705
